current,A1,A2,A3,voltage,power,frequency
221.277236938,247.81048584,196.010360718,220.010848999,248.261871338,163.042703125,50.2026138306
216.347122192,242.736404419,190.637588501,215.667419434,248.242385864,158.816828125,50.2003173828
216.819595337,242.689498901,192.138183594,215.631057739,248.222702026,158.825125,50.1987266541
216.837753296,242.718185425,192.1612854,215.633834839,248.204666138,158.863484375,50.1971817017
216.849960327,242.755996704,192.182983398,215.610870361,248.179244995,158.8916875,50.1955757141
217.893203735,244.705352783,192.230194092,216.74407959,248.162994385,159.47040625,50.1954727173
217.467407227,244.633132935,192.214416504,215.554702759,248.149703979,159.464234375,50.1947975159
216.341369629,242.291534424,191.225692749,215.506896973,248.127487183,159.410875,50.1943855286
216.314819336,242.290267944,191.198028564,215.45614624,248.11491394,158.842484375,50.194694519
216.288742065,242.298583984,191.168701172,215.398971558,248.111465454,158.824828125,50.1927528381
216.270355225,242.310974121,191.139434814,215.360687256,248.094055176,158.809328125,50.193107605
216.261291504,242.335250854,191.123916626,215.324768066,248.088150024,158.8016875,50.1903953552
216.254852295,242.363510132,191.107666016,215.293319702,248.079238892,158.796203125,50.1904792786
216.225799561,242.362945557,191.067947388,215.24647522,248.091201782,158.783265625,50.1893615723
216.183395386,242.340270996,191.025817871,215.184204102,248.099380493,158.760765625,50.1908149719
215.789260864,242.281311035,189.950393677,215.136138916,248.093643188,158.7173125,50.1882400513
215.783737183,242.290023804,189.981826782,215.079330444,248.09425354,158.698109375,50.186000824
215.789337158,242.269714355,190.03742981,215.060913086,248.093170166,158.692828125,50.1862983704
